latitud,longitud,radio_error,n_gruas,direccion,num,cp,provincia,comunidad,pais,uso1,uso2,obra_nueva
41.6400157,2.1628544,,,Carrer de Joaquim mir,,08140,Caldes de Montbui,Catalonia,ES,residencial,residencial,1
41.6735216554,2.2620687865,,,Carrer de Sant Sebastia,,08593,l'Ametlla del Valles,Catalonia,ES,residencial,residencial,1
41.6330588457,2.1650429865,,,Carrer de Buenos Aires,,08140,Caldes de Montbui,Catalonia,ES,residencial,residencial,1
41.6775519,2.2237355,,,Carrer del Cami del Puiggracios,,08187,Bigues i Riells,Catalonia,ES,residencial,residencial,1
41.6915626526,2.1567101479,,,Carrer de Sant Jordi,,08415,Sant Feliu de Codines,Catalonia,ES,residencial,residencial,1
41.6355701,2.3681345,,,Carrer del Doctor Barraquer,,08440,Cardedeu,Catalonia,ES,residencial,residencial,1
41.690700531,2.1640501022,,,Carrer de l'Esquirol,,08415,Sant Feliu de Codines,Catalonia,ES,residencial,residencial,1
41.6491079082,2.395411856,,,Carrer dels Pins,,08450,Llinars del Valles,Catalonia,ES,residencial,residencial,1
41.6847239655,2.4806661514,,,Carrer de la Marinada,,08470,Sant Celoni,Catalonia,ES,residencial,residencial,1
41.6409318,2.3614853,,,Carrer Mare de Deu del Pilar,,08440,Cardedeu,Catalonia,ES,residencial,residencial,1
41.634059906,2.3013401031,,,Avinguda de la Sagrera,,08520,les Franqueses del Valles,Catalonia,ES,residencial,residencial,1
41.544734,2.2628781,,,Carrer de la Pau,,08188,Montornes del Valles,Catalonia,ES,residencial,residencial,1
41.689709689,2.4877633679,,,Carrer Sant Guillem,,08470,Sant Celoni,Catalonia,ES,residencial,residencial,1
41.6478309631,2.3122999668,,,Antic Cami de Marata,,08520,les Franqueses del Valles,Catalonia,ES,residencial,residencial,1
41.5229297424,2.12092336,,,Mercadona,,08204,Sabadell,Catalonia,ES,residencial,residencial,1
41.6449092,2.4059089,,,Carrer de la Circumvalacio,,08450,Llinars del Valles,Catalonia,ES,residencial,residencial,1
41.6063664,2.2410171,,,Carrer de la Fabrica,,08186,Llica d'Amunt,Catalonia,ES,residencial,residencial,1
41.6923230521,2.5004259755,,,Placa dels Camps de Sant Nicolau,,08470,Sant Celoni,Catalonia,ES,residencial,residencial,1
41.5239551562,2.2250474476,,,Carrer de Sant Jordi,,08105,Sant Fost de Campsentelles,Catalonia,ES,residencial,residencial,1
41.5223647,2.1263503,,,Carrer de Joan Amades,,08210,Barbera del Valles,Catalonia,ES,residencial,residencial,1
41.4980363887,2.1420141871,,,Carretera de Barcelona,,08290,Cerdanyola del Valles,Catalonia,ES,residencial,residencial,1
41.6803113387,2.2817901362,,,Carrer de Frare Benet,,08530,la Garriga,Catalonia,ES,residencial,residencial,1
41.4900622,2.132115,,,Carrer de Sant Camil,,08290,Cerdanyola del Valles,Catalonia,ES,residencial,residencial,1
41.4880439,2.1375022,,,Carrer de Belles Arts,,08290,Cerdanyola del Valles,Catalonia,ES,residencial,residencial,1
41.5239513666,2.2250184129,,,Carrer de Sant Jordi,,08105,Sant Fost de Campsentelles,Catalonia,ES,residencial,residencial,1
41.5760587561,2.1617638661,,,Carrer de les Illes Balears,,08184,Palau-solita i Plegamans,Catalonia,ES,residencial,residencial,1
41.5247308138,2.2229285558,,,Avinguda de Catalunya,,08105,Sant Fost de Campsentelles,Catalonia,ES,residencial,residencial,1
41.4891486912,2.1316134281,,,Avinguda Flor de Maig,,08290,Cerdanyola del Valles,Catalonia,ES,residencial,residencial,1
41.4889066,2.1334374,,,Carrer d'Anselm Clave,,08290,Cerdanyola del Valles,Catalonia,ES,residencial,residencial,1
41.5570983887,2.1535100937,,,Carrer Major,,08184,Polinya,Catalonia,ES,residencial,residencial,1
41.5777646,2.1814182,,,Carrer de Juan Ramon Jimenez,,08184,Palau-solita i Plegamans,Catalonia,ES,residencial,residencial,1
41.575668335,2.0063199997,,,Carretera de Rellinars,,08225,Terrassa,Catalonia,ES,otros,industrial,1
41.5679664612,2.0518155098,,,GR 173 - PR-C 13,,08220,Terrassa,Catalonia,ES,otros,industrial,1
41.6368408203,2.363339901,,,Gran Via de Tomas Balvey,,08440,Cardedeu,Catalonia,ES,otros,industrial,1
41.3161709,2.0744391,,,Carrer de Muntades,,08820,el Prat de Llobregat,Catalonia,ES,oficina,oficina,1
41.9297599792,2.2464599609,,,22 Carrer de Perot Rocaguinarda,,08500,Vic,Catalonia,ES,residencial,residencial,1
41.9290605,2.261328,,,Carrer de Sant Segimon,,08500,Vic,Catalonia,ES,residencial,residencial,1
